ID,ID_rock,block_plot,block_day,block,plot,sp,depth,resolution,day_of_year,sampling_date,date,_,serial_nb,fraction,fresh_weight_g,fresh_weight_aff,part_fresh_w,dry_weight,dry_weight_f_100,calc_tot_dry_weight,tot_dry_weight_aff,f_perc_prop_weight_aff,vol_calc_sk_ml,vol_perc_sk,vol_fine_cm3,Date_dry_weighing,soilvol_m3,soilvol_cm3,FRB_g_cm3,SRL_m_g,RLD_m_m3,mycelium,length_cm,length_aff_cm,projarea_cm2,surfarea_cm2,avgdiam_mm,lenpervol_cm_m3,rootvol_cm3,rootvol_class_cm3,rootvol_aff_class_cm3,rtd_g_cm3,tips,forks,crossings,ntips_length_n_cm,nforks_length_n_cm,rdmc_dry_g_fresh_g,loi_perc,tc_perc,tn_perc,ca_mg_kg,k_mg_kg,mg_mg_kg,mn_mg_kg,ep_mg_kg,silt_clay_perc,clay_perc,silt_perc,sand_perc,h2o,moist_bepa_5cm,moist_bepa_5cm_vol100perc,moist_bepa_25cm,moist_bepa_25cm_vol100perc,moist_pist_5cm,moist_pist_5cm_vol100perc,moist_pist_25cm,moist_pist_25cm_vol100perc
2_2_QURU_0_5_500_180815_C,2_2_QURU_0_5,22,2227,2,2,QURU,0_5,500,227,8/15/2018,180815,_,180001,C,0.2257,0.2257,NA,0.0861,,NA,0.0861,,6.14,6.27,91.86,12/17/2018,0.000098,98,0.0009,1.4,1342.8,no,12.3343,12.3343,1.7198,5.403,1.3943,125860.6331,0.188,0.238,0.238,0.362,45,63,2,3.65,5.11,0.38,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_0_5_500_180815_TF,2_2_QURU_0_5,22,2227,2,2,QURU,0_5,500,227,8/15/2018,180815,_,180002,TF,0.1333,0.1333,NA,0.0554,,NA,0.0554,,6.14,6.27,91.86,12/17/2018,0.000098,98,0.0006,12.8,7731.5,no,71.0189,71.0189,3.2534,10.2209,0.4581,724682.6082,0.117,0.130,0.130,0.427,220,141,5,3.10,1.99,0.42,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_0_5_500_180815_AF,2_2_QURU_0_5,22,2227,2,2,QURU,0_5,500,227,8/15/2018,180815,_,180003,AF,0.6377,0.7165,0.1770,0.1084,,0.3905,0.4132,,6.14,6.27,91.86,12/17/2018,0.000098,98,0.0045,55.1,248025.1,no,1831.2919,2278.28532434428,37.8393,118.8755,0.2066,18686651.62,0.614,0.615,0.804,0.514,10057,11376,1605,4.41,4.99,0.58,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_0_5_500_180815_F,2_2_QURU_0_5,22,2227,2,2,QURU,0_5,500,227,8/15/2018,180815,_,180004,F,0.0082,0.0820,NA,0.0023,0.0230,NA,0.0230,5.57,6.14,6.27,91.86,12/17/2018,0.000098,98,0.0003,197.3,49400.3,no,45.3777,453.777,1.0649,3.3455,0.2347,463037.5175,0.02,0.020,0.203,0.113,342,185,10,0.75,0.41,0.28,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_0_5_500_180815_D,2_2_QURU_0_5,22,2227,2,2,QURU,0_5,500,227,8/15/2018,180815,_,180005,D,0.0259,0.0291,NA,0.0061,,0.3905,0.0065,,6.14,6.27,91.86,12/17/2018,0.000098,98,0.0001,53.6,3764.0,no,27.7917,34.5752756557155,1.1634,3.6551,0.4186,283589.1308,0.038,0.045,0.059,0.109,112,95,6,3.24,2.75,0.22,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_5_10_500_180815_C,2_2_QURU_5_10,22,2227,2,2,QURU,5_10,500,227,8/15/2018,180815,_,180006,C,1.1348,1.1348,NA,0.4594,,NA,0.4594,,7.50,7.66,90.50,12/17/2018,0.000098,98,0.0051,0.2,855.2,no,7.7393,7.7393,2.8826,9.056,3.7247,78972.0991,0.843,1.186,1.186,0.387,24,67,3,3.10,8.66,0.40,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_5_10_500_180815_TF,2_2_QURU_5_10,22,2227,2,2,QURU,5_10,500,227,8/15/2018,180815,_,180007,TF,0.4045,0.4045,NA,0.1814,,NA,0.1814,,7.50,7.66,90.50,12/17/2018,0.000098,98,0.0020,6.3,12717.7,no,115.0919,115.0919,6.2468,19.625,0.5428,1174407.574,0.266,0.265,0.265,0.685,248,183,7,2.15,1.59,0.45,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_5_10_500_180815_AF,2_2_QURU_5_10,22,2227,2,2,QURU,5_10,500,227,8/15/2018,180815,_,180008,AF,0.3150,0.6764,0.1193,0.0876,,0.2313,0.5016,,7.50,7.66,90.50,12/17/2018,0.000098,98,0.0055,79.3,439297.9,no,1032.9045,3975.52774157531,21.3191,66.976,0.2064,10539842.34,0.346,0.071,0.215,2.333,4568,4252,566,1.15,1.07,0.74,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_5_10_500_180815_F,2_2_QURU_5_10,22,2227,2,2,QURU,5_10,500,227,8/15/2018,180815,_,180009,F,0.0588,0.5880,NA,0.0343,0.3430,NA,0.3430,68.38,7.50,7.66,90.50,12/17/2018,0.000098,98,0.0038,91.8,347921.5,no,314.8596,3148.596,7.8273,24.59,0.2486,3212853.206,0.153,0.057,0.565,0.607,2047,1633,171,0.65,0.52,0.58,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_5_10_500_180815_D,2_2_QURU_5_10,22,2227,2,2,QURU,5_10,500,227,8/15/2018,180815,_,180010,D,0.1975,0.4241,NA,0.0622,,0.2313,0.1349,,7.50,7.66,90.50,12/17/2018,0.000098,98,0.0015,20.6,30749.2,no,72.2995,278.272258424689,3.9887,12.5308,0.5517,737750.3811,0.173,0.205,0.626,0.216,452,184,11,1.62,0.66,0.32,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
