id_FallAssessment,id_block_plot_sp_h2o,block,plot,tree,location,sp,h2o,bd_mm,ba_mm2,ba_cm2,ba_m2,ba_m2_m2,ba_m2_ha,ht_cm,status6_live_dead,lbio,agbio,wbio
11ACSA,11ACSAH,1,1,B2,C,ACSA,H,19.27,291.64,2.92,0.00029164485966,7.2911214915E-05,0.7291,90,alive,61.57,145.08,83.5088232173501
11ACSA,11ACSAH,1,1,B3,C,ACSA,H,16.68,218.52,2.19,0.00021851587296,5.462896824E-05,0.5463,114,alive,44.10,95.81,51.7143735562446
11ACSA,11ACSAH,1,1,B4,C,ACSA,H,24.13,457.30,4.57,0.00045730456926,0.000114326142315,1.1433,150,alive,103.57,276.93,173.355891950482
11ACSA,11ACSAH,1,1,B5,C,ACSA,H,20.45,328.46,3.28,0.0003284562435,8.2114060875E-05,0.8211,118,alive,70.64,172.11,101.465593655502
11ACSA,11ACSAH,1,1,B6,C,ACSA,H,22.07,382.56,3.83,0.00038255648046,9.5639120115E-05,0.9564,121,alive,84.26,214.28,130.013104928866
11ACSA,11ACSAH,1,1,C2,C,ACSA,H,16.12,204.09,2.04,0.00020408964576,5.102241144E-05,0.5102,125,alive,40.75,86.86,46.1046512677681
11ACSA,11ACSAH,1,1,C3,C,ACSA,H,24.27,462.63,4.63,0.00046262643966,0.000115656609915,1.1566,160,alive,104.97,281.57,176.604530789628
11ACSA,11ACSAH,1,1,C4,C,ACSA,H,18.69,274.35,2.74,0.00027435286494,6.8588216235E-05,0.6859,132,alive,57.37,132.88,75.5090821051045
11ACSA,11ACSAH,1,1,C5,C,ACSA,H,15.61,191.38,1.91,0.00019138006734,4.7845016835E-05,0.4785,82,alive,37.83,79.19,41.3577026340531
11ACSA,11ACSAH,1,1,C6,C,ACSA,H,22.8,408.28,4.08,0.000408282336,0.000102070584,1.0207,129,alive,90.85,235.29,144.437745316759
11ACSA,11ACSAH,1,1,D2,C,ACSA,H,20.7,336.54,3.37,0.000336536046,8.41340115E-05,0.8413,125,alive,72.66,178.23,105.569878699721
11ACSA,11ACSAH,1,1,D3,C,ACSA,H,19.05,285.02,2.85,0.0002850236235,7.1255905875E-05,0.7126,120,alive,59.96,140.37,80.4119299772563
11ACSA,11ACSAH,1,1,D4,C,ACSA,H,24.93,488.13,4.88,0.00048812994846,0.000122032487115,1.2203,145,alive,111.69,304.15,192.460624295013
11ACSA,11ACSAH,1,1,D5,C,ACSA,H,21.51,363.39,3.63,0.00036338895054,9.0847237635E-05,0.9085,110,alive,79.40,199.02,119.615865088427
11ACSA,11ACSAH,1,1,D6,C,ACSA,H,23.84,446.38,4.46,0.00044637863424,0.00011159465856,1.1159,168,alive,100.72,267.47,166.752414021063
11ACSA,11ACSAH,1,1,E2,C,ACSA,H,22.19,386.73,3.87,0.00038672789694,9.6681974235E-05,0.9668,177,alive,85.33,217.64,132.315849696841
11ACSA,11ACSAH,1,1,E3,C,ACSA,H,17.26,233.98,2.34,0.00023397662904,5.849415726E-05,0.5849,118,alive,47.73,105.71,57.9790127545012
11ACSA,11ACSAH,1,1,E4,C,ACSA,H,16.61,216.69,2.17,0.00021668565534,5.4171413835E-05,0.5417,91,alive,43.67,94.66,50.9899052595103
11ACSA,11ACSAH,1,1,E5,C,ACSA,H,24.6,475.29,4.75,0.000475292664,0.000118823166,1.1882,160,alive,108.30,292.72,184.42024776111
11ACSA,11ACSAH,1,1,E6,C,ACSA,H,18.12,257.87,2.58,0.00025787383776,6.446845944E-05,0.6447,100,alive,53.41,121.56,68.1557290189192
11ACSA,11ACSAH,1,1,F2,C,ACSA,H,28.29,628.57,6.29,0.00062857454814,0.000157143637035,1.5714,182,alive,149.62,437.44,287.825263149213
11ACSA,11ACSAH,1,1,F3,C,ACSA,H,28.07,618.84,6.19,0.00061883621646,0.000154709054115,1.5471,139,alive,146.94,427.74,280.794979017675
11ACSA,11ACSAH,1,1,F4,C,ACSA,H,23.68,440.41,4.40,0.00044040708096,0.00011010177024,1.1010,165,alive,99.16,262.34,163.181168926872
11ACSA,11ACSAH,1,1,F5,C,ACSA,H,25.7,518.75,5.19,0.000518748846,0.0001296872115,1.2969,165,alive,119.83,331.94,212.112470885076
11ACSA,11ACSAH,1,1,F6,C,ACSA,H,20.25,322.06,3.22,0.0003220630875,8.0515771875E-05,0.8052,124,alive,69.06,167.32,98.2589409149949
15QURU,15QURUH,1,5,B2,C,QURU,H,23.87,447.50,4.48,0.00044750277726,0.000111875694315,1.1188,213,alive,103.65,332.63,228.983252793516
15QURU,15QURUH,1,5,B3,C,QURU,H,21.08,349.01,3.49,0.00034900537056,8.725134264E-05,0.8725,124,alive,81.70,245.61,163.909386430252
15QURU,15QURUH,1,5,B4,C,QURU,H,22.9,411.87,4.12,0.000411871614,0.0001029679035,1.0297,158,alive,95.74,300.61,204.873254332379
15QURU,15QURUH,1,5,B5,C,QURU,H,20.77,338.82,3.39,0.00033881598366,8.4703995915E-05,0.8470,95,alive,79.42,236.89,157.473849250878
15QURU,15QURUH,1,5,B6,C,QURU,H,28.12,621.04,6.21,0.00062104279776,0.00015526069944,1.5526,254,alive,141.84,496.15,354.302946364833
15QURU,15QURUH,1,5,C2,C,QURU,H,26.9,568.32,5.68,0.000568323294,0.0001420808235,1.4208,232,alive,130.30,445.25,314.95649057728
