"ID","block_plot","block","plot","species","Soil_depth","tot_dry_weight_aff","FRB_g_cm3","SRL_m_g","RLD_m_m3","mycelium","length_aff_cm","surfarea_cm2","avgdiam_mm","rootvol_aff_class_cm3","RTD_g_cm3","tips","forks","crossings","ntips_length_n_cm","nforks_length_n_cm","RDMC_dry_g_fresh_g","h2o","RLD_cm_cm3","SRA_cm2_g","ntips_length_n_cm_log1","RLD_cm_cm3_log1","SRL_m_g_log1","SRA_cm2_g_log1","length_aff_cm_sqrt","RDMC_dry_g_fresh_g_log1","rootvol_aff_class_cm3_log1"
"2_2_QURU_0_5_500_180815_AF","22","2",2,"Quercus rubra","0-5",0.4132,0.0045,55.1,248025.1,"no",2278.28532434428,118.8755,0.2066,0.804,0.514,10057,11376,1605,4.41,4.99,0.58,"Low",24.80251,287.694820909971,1.68824909285839,3.25047177401722,4.02713581252865,5.66537014715907,47.7313872032259,0.457424847038875,0.590006421640432
"2_2_QURU_5_10_500_180815_AF","22","2",2,"Quercus rubra","5-10",0.5016,0.0055,79.3,439297.9,"no",3975.52774157531,66.976,0.2064,0.215,2.333,4568,4252,566,1.15,1.07,0.74,"Low",43.92979,133.524720893142,0.765467842139571,3.80510104913391,4.38576962095272,4.90174798061505,63.0517861886189,0.553885113226438,0.194744076792512
"2_2_QURU_10_15_500_180815_AF","22","2",2,"Quercus rubra","10-15",0.7706,0.0085,61.6,525479.7,"no",4748.69122012437,84.3739,0.2027,2.183,0.353,7571,7677,1294,1.59,1.62,0.49,"Low",52.54797,109.491175707241,0.951657875711446,3.98057788767848,4.13676527810605,4.70493565991598,68.9107482191593,0.398776119957368,1.15782414829996
"2_2_QURU_15_20_500_180815_AF","22","2",2,"Quercus rubra","15-20",0.4651,0.0051,72,370507.1,"no",3347.73415841787,58.2025,0.2071,0.716,0.649,4818,4024,466,1.44,1.2,0.67,"Low",37.05071,125.139754891421,0.89199803930511,3.63891974379195,4.29045944114839,4.83739045808649,57.8596073130286,0.512823626428664,0.539996001065771
"2_2_QURU_20_30_500_180815_AF","22","2",2,"Quercus rubra","20-30",0.096,5e-04,91,47789.9,"no",873.294058891909,30.5356,0.2178,0.308,0.312,3539,2903,370,4.05,3.32,0.4,"Low",4.77899,318.079166666667,1.61938824328727,1.75422892693096,4.52178857704904,5.76543924336428,29.5515491792209,0.336472236621213,0.268499253035007
"2_4_LALA_0_5_500_180814_AF","24","2",4,"Larix laricina","0-5",0.9338,0.0116,32,369929.6,"no",2989.80510929744,59.7307,0.4104,3.418,0.273,1924,1394,72,0.64,0.47,0.39,"Low",36.99296,63.9651959734419,0.494696241836107,3.63740087940515,3.49650756146648,4.1738516799305,54.6791103557605,0.3293037471426,1.48568710499793
"2_4_LALA_5_10_500_180814_AF","24","2",4,"Larix laricina","5-10",0.2027,0.0026,37.5,95645.9,"no",760.101980928528,18.8982,0.4524,1.012,0.2,634,509,28,0.83,0.67,0.3,"Low",9.56459,93.2323630981746,0.60431596685333,2.35750784293213,3.65065824129374,4.54576367988548,27.5699470606769,0.262364264467491,0.699129252237493
"2_4_LALA_10_15_500_180814_AF","24","2",4,"Larix laricina","10-15",0.0019,0,83.3,1701.9,"no",15.45791209684,0.6138,0.4404,0.008,0.236,6,4,0,0.39,0.26,0.22,"Low",0.17019,323.052631578947,0.3293037471426,0.157166128787716,4.43438186500781,5.78090594574477,3.93165513452541,0.198850858745165,0.00796816964917688
"2_4_LALA_15_20_500_180814_AF","24","2",4,"Larix laricina","15-20",0.0201,2e-04,132.6,30285.1,"no",266.697243253591,4.4879,0.4519,0.116,0.173,205,131,6,0.77,0.49,0.25,"Low",3.02851,223.278606965174,0.570979546585738,1.39339658054555,4.89485026110255,5.41288906009464,16.3308678046695,0.22314355131421,0.109750863959119
"2_4_LALA_20_30_500_180814_AF","24","2",4,"Larix laricina","20-30",0.0909,6e-04,32.3,18317.8,"no",293.699464599757,16.66,0.4233,0.322,0.282,659,579,30,2.24,1.97,0.35,"Low",1.83178,183.278327832783,1.17557332980424,1.04090548919813,3.5055573969864,5.21644726596959,17.1376621684452,0.300104592450338,0.279145741429495
"2_9_PIGL_0_5_500_180814_AF","29","2",9,"Picea glauca","0-5",0.6109,0.0075,35.4,264929.7,"yes",2161.02567004268,64.9943,0.3187,1.126,0.543,2955,2806,246,1.37,1.3,0.27,"Low",26.49297,106.391062367,0.86288995514704,3.31393033562834,3.5945687746427,4.67647696042758,46.4868332976412,0.2390169004705,0.754242279919756
"2_9_PIGL_5_10_500_180814_AF","29","2",9,"Picea glauca","5-10",0.4913,0.0054,51,276879.8,"no",2507.72327268877,39.6876,0.3427,1.669,0.294,1568,1082,104,0.63,0.43,0.36,"Low",27.68798,80.7807856706697,0.488580014818671,3.35647821970693,3.95124371858143,4.40404232201519,50.0771731699062,0.307484699747961,0.981703870422387
"2_9_PIGL_10_15_500_180814_AF","29","2",9,"Picea glauca","10-15",0.5394,0.0059,50.9,299210.7,"no",2743.99981304925,15.3516,0.3479,1.403,0.384,463,307,14,0.17,0.11,0.43,"Low",29.92107,28.460511679644,0.157003748809665,3.43143782855384,3.94931879017184,3.38305077950701,52.3832016303819,0.357674444271816,0.876717956754332
"2_9_PIGL_15_20_500_180814_AF","29","2",9,"Picea glauca","15-20",0.1252,0.0014,53.8,74783.6,"no",673.596127835444,18.2408,0.3673,0.49,0.255,592,569,33,0.88,0.84,0.32,"Low",7.47836,145.693290734824,0.631271776841858,2.13751703487393,4.00369019395397,4.98834394950747,25.9537305186642,0.27763173659828,0.398776119957368
"2_9_PIGL_20_30_500_180814_AF","29","2",9,"Picea glauca","20-30",0.0781,4e-04,45.3,19736.2,"no",353.681546882777,10.1545,0.3396,0.186,0.419,395,375,36,1.12,1.06,0.34,"Low",1.97362,130.019206145967,0.751416088683921,1.08978006583247,3.83514196109219,4.87534392425596,18.8064230220097,0.29266961396282,0.170586300575534
"2_7_BEPA_0_5_500_180816_AF","27","2",7,"Betula papyrifera","0-5",0.6597,0.0073,39.8,292238.8,"no",2628.36751414611,51.7149,0.2442,0.633,1.042,3329,3226,427,1.27,1.23,0.69,"Low",29.22388,78.3915416098227,0.819779831493311,3.40863234039659,3.70868208141012,4.37439183373495,51.2676068697,0.524728528934982,0.490418813988328
